Area,Items,Time,Change(%)
Ku-area of Tokyo,Fish & seafood,2024,1.1
Ku-area of Tokyo,Fresh fish & seafood,2024,-0.7
Ku-area of Tokyo,Tuna fish,2024,-5.7
Ku-area of Tokyo,Horse mackerel,2024,-5.8
Ku-area of Tokyo,Sardines,2024,8.8
Ku-area of Tokyo,Bonito,2024,-1.7
Ku-area of Tokyo,Salmon,2024,1.3
Ku-area of Tokyo,Mackerel,2024,1.4
Ku-area of Tokyo,Saury,2024,-8.0
Ku-area of Tokyo,Sea bream,2024,-0.3
Ku-area of Tokyo,Yellowtail,2024,-4.4
Ku-area of Tokyo,Cuttlefish,2024,9.2
Ku-area of Tokyo,Octopus,2024,5.6
Ku-area of Tokyo,Prawns,2024,4.6
Ku-area of Tokyo,Short-necked clams,2024,1.5
Ku-area of Tokyo,Oysters,2024,1.8
Ku-area of Tokyo,Scallops,2024,2.1
Ku-area of Tokyo,Salted & dried fish,2024,2.3
Ku-area of Tokyo,Salted salmon,2024,4.5
Ku-area of Tokyo,Salted cod roe,2024,0.5
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2024,4.0
Ku-area of Tokyo,Dried horse mackerel,2024,0.0
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2024,31.9
Ku-area of Tokyo,Capelin,2024,3.0
Ku-area of Tokyo,Salmon roe,2024,-14.1
Ku-area of Tokyo,Fish-paste products,2024,0.7
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2024,-1.2
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2024,1.9
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2024,1.5
Ku-area of Tokyo,Other processed fish & seafood,2024,7.5
Ku-area of Tokyo,Dried bonito fillets,2024,32.5
Ku-area of Tokyo,Pickled fish,2024,5.0
Ku-area of Tokyo,Fish prepared in soy sauce,2024,3.4
Ku-area of Tokyo,Canned fish,2024,4.4
Ku-area of Tokyo,Fish & seafood,2023,11.9
Ku-area of Tokyo,Fresh fish & seafood,2023,9.2
Ku-area of Tokyo,Tuna fish,2023,-0.2
Ku-area of Tokyo,Horse mackerel,2023,12.9
Ku-area of Tokyo,Sardines,2023,3.4
Ku-area of Tokyo,Bonito,2023,16.2
Ku-area of Tokyo,Salmon,2023,20.1
Ku-area of Tokyo,Mackerel,2023,12.3
Ku-area of Tokyo,Saury,2023,22.2
Ku-area of Tokyo,Sea bream,2023,6.9
Ku-area of Tokyo,Yellowtail,2023,5.4
Ku-area of Tokyo,Cuttlefish,2023,27.9
Ku-area of Tokyo,Octopus,2023,6.9
Ku-area of Tokyo,Prawns,2023,5.1
Ku-area of Tokyo,Short-necked clams,2023,8.7
Ku-area of Tokyo,Oysters,2023,11.8
Ku-area of Tokyo,Scallops,2023,9.8
Ku-area of Tokyo,Salted & dried fish,2023,14.0
Ku-area of Tokyo,Salted salmon,2023,12.5
Ku-area of Tokyo,Salted cod roe,2023,13.4
Ku-area of Tokyo,"""Shirasu-boshi"", dried young sardines",2023,24.2
Ku-area of Tokyo,Dried horse mackerel,2023,13.6
Ku-area of Tokyo,"""Niboshi"", dried small sardines",2023,13.5
Ku-area of Tokyo,Capelin,2023,6.5
Ku-area of Tokyo,Salmon roe,2023,2.2
Ku-area of Tokyo,Fish-paste products,2023,14.1
Ku-area of Tokyo,"""Agekamaboko"", fried fish-paste patties",2023,15.1
Ku-area of Tokyo,"""Chikuwa"", baked fish-paste bars",2023,12.5
Ku-area of Tokyo,"""Kamaboko"", steamed fish-paste cakes",2023,14.0
Ku-area of Tokyo,Other processed fish & seafood,2023,19.7
Ku-area of Tokyo,Dried bonito fillets,2023,28.2
Ku-area of Tokyo,Pickled fish,2023,21.2
