Year,Tuna fish,Horse mackerel,Sardines,Bonito,Salmon,Mackerel,Saury,Sea bream,Yellowtail,Cuttlefish,Octopus,Prawns,Short-necked clams,Oysters,Scallops
1979,337.0,198.0,43.0,164.0,372.0,43.0,85.0,963.0,238.0,124.0,221.0,504.0,63.0,207.0,203.0
1980,388.0,203.0,45.0,175.0,339.0,49.0,93.0,977.0,252.0,111.0,289.0,449.0,77.0,212.0,220.0
1981,373.0,229.0,52.0,216.0,367.0,53.0,112.0,1011.0,271.0,110.0,239.0,426.0,80.0,214.0,239.0
1982,411.0,211.0,58.0,180.0,385.0,72.0,159.0,1104.0,282.0,126.0,221.0,473.0,77.0,231.0,228.0
1983,393.0,196.0,61.0,174.0,371.0,76.0,109.0,1113.0,260.0,127.0,227.0,511.0,84.0,229.0,235.0
1984,396.0,216.0,59.0,143.0,364.0,80.0,97.0,1029.0,260.0,125.0,223.0,497.0,90.0,218.0,247.0
1985,418.0,216.0,65.0,171.0,380.0,82.0,91.0,1047.0,261.0,145.0,230.0,497.0,86.0,227.0,243.0
1986,397.0,208.0,66.0,152.0,368.0,88.0,116.0,1043.0,265.0,159.0,245.0,460.0,90.0,222.0,241.0
1987,406.0,207.0,70.0,171.0,349.0,92.0,125.0,1052.0,234.0,148.0,249.0,413.0,89.0,215.0,236.0
1988,411.0,173.0,71.0,178.0,400.0,92.0,106.0,973.0,239.0,128.0,242.0,379.0,91.0,213.0,232.0
1989,428.0,164.0,70.0,207.0,412.0,86.0,86.0,1027.0,255.0,108.0,242.0,367.0,92.0,228.0,217.0
1990,451.0,189.0,75.0,264.0,422.0,97.0,100.0,1074.0,250.0,116.0,255.0,363.0,98.0,266.0,229.0
1991,461.0,195.0,90.0,230.0,427.0,124.0,94.0,1034.0,268.0,115.0,282.0,361.0,102.0,295.0,237.0
1992,473.0,174.0,87.0,267.0,440.0,130.0,88.0,972.0,281.0,104.0,278.0,343.0,103.0,305.0,226.0
1993,482.0,178.0,82.0,211.0,435.0,125.0,89.0,857.0,283.0,101.0,259.0,319.0,107.0,298.0,206.0
1994,479.0,154.0,77.0,225.0,397.0,110.0,89.0,823.0,276.0,104.0,244.0,315.0,105.0,307.0,201.0
1995,468.0,149.0,89.0,206.0,379.0,112.0,93.0,786.0,235.0,107.0,251.0,319.0,107.0,297.0,194.0
1996,467.0,155.0,123.0,262.0,379.0,125.0,124.0,798.0,261.0,105.0,278.0,317.0,109.0,314.0,179.0
